dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
scidocs,stratified,fixed,1000,1000,5.509338328466751,0.3819574582205216,0.26527372131175564,0.72,0.28,79.34914972726445,0.4,0.4
scidocs,stratified,fixed,2500,2500,13.773345821166878,0.45099572666989546,0.3343119897611295,0.72,0.28,100.0,0.4,0.6
scidocs,stratified,fixed,5000,5000,27.546691642333755,0.45099572666989546,0.3343119897611295,0.72,0.28,100.0,0.4,0.6
scidocs,stratified,fixed,10000,10000,55.09338328466751,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,stratified,fixed,15000,15000,82.64007492700128,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,stratified,fixed,20000,20000,110.18676656933502,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,stratified,percentage,0.02,363,2.0,0.3819574582205216,0.26527372131175564,0.6799999999999999,0.24,79.34914972726445,0.4,0.4
scidocs,stratified,percentage,0.05,907,5.0,0.3819574582205216,0.26527372131175564,0.72,0.28,79.34914972726445,0.4,0.4
scidocs,stratified,percentage,0.1,1815,10.0,0.45099572666989546,0.3343119897611295,0.72,0.28,100.0,0.4,0.6
scidocs,stratified,percentage,0.15,2722,15.0,0.45099572666989546,0.3343119897611295,0.72,0.28,100.0,0.4,0.6
scidocs,stratified,percentage,0.2,3630,20.0,0.45099572666989546,0.3343119897611295,0.72,0.28,100.0,0.4,0.6
scidocs,stratified,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2722,14.996418930086497,0.45099572666989546,0.3343119897611295,0.72,0.28,100.0,0.4,0.6
scidocs,coverage,fixed,1000,1000,5.509338328466751,0.37832129658615665,0.26163755967739066,0.64,0.19999999999999998,78.26149455911954,0.4,0.6
scidocs,coverage,fixed,2500,2500,13.773345821166878,0.42959710019644276,0.3129133632876767,0.68,0.23999999999999994,93.59920459665763,0.4,0.6
scidocs,coverage,fixed,5000,5000,27.546691642333755,0.42959710019644276,0.3129133632876767,0.68,0.23999999999999994,93.59920459665763,0.4,0.6
scidocs,coverage,fixed,10000,10000,55.09338328466751,0.44211449425035154,0.3254307573415856,0.68,0.23999999999999994,97.34342988240127,0.4,0.6
scidocs,coverage,fixed,15000,15000,82.64007492700128,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,coverage,fixed,20000,20000,110.18676656933502,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,coverage,percentage,0.02,363,2.0,0.37832129658615665,0.26163755967739066,0.6,0.15999999999999998,78.26149455911954,0.4,0.4
scidocs,coverage,percentage,0.05,907,5.0,0.37832129658615665,0.26163755967739066,0.64,0.19999999999999998,78.26149455911954,0.4,0.6
scidocs,coverage,percentage,0.1,1815,10.0,0.37832129658615665,0.26163755967739066,0.64,0.19999999999999998,78.26149455911954,0.4,0.6
scidocs,coverage,percentage,0.15,2722,15.0,0.42959710019644276,0.3129133632876767,0.68,0.23999999999999994,93.59920459665763,0.4,0.6
scidocs,coverage,percentage,0.2,3630,20.0,0.42959710019644276,0.3129133632876767,0.68,0.23999999999999994,93.59920459665763,0.4,0.6
scidocs,coverage,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2722,14.996418930086497,0.42959710019644276,0.3129133632876767,0.68,0.23999999999999994,93.59920459665763,0.4,0.6
arguana,salience,fixed,1000,1000,10.1615689462453,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.0
arguana,salience,fixed,2500,2500,25.40392236561325,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,salience,fixed,5000,5000,50.8078447312265,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,salience,fixed,10000,10000,101.615689462453,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,salience,fixed,15000,15000,152.4235341936795,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,salience,fixed,20000,20000,203.231378924906,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,salience,percentage,0.02,196,2.0,0.5452245188095411,0.08053135505198805,1.0,0.0,94.62462811981804,0.0,0.0
arguana,salience,percentage,0.05,492,5.0,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.0
arguana,salience,percentage,0.1,984,10.0,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.0
arguana,salience,percentage,0.15,1476,15.0,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.0
arguana,salience,percentage,0.2,1968,20.0,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,salience,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,25.40392236561325,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,specificity,fixed,1000,1000,10.1615689462453,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.0
arguana,specificity,fixed,2500,2500,25.40392236561325,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,specificity,fixed,5000,5000,50.8078447312265,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,specificity,fixed,10000,10000,101.615689462453,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,specificity,fixed,15000,15000,152.4235341936795,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,specificity,fixed,20000,20000,203.231378924906,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.2
arguana,specificity,percentage,0.02,196,2.0,0.46469316375755315,0.0,1.0,0.0,0.0,0.0,0.0
arguana,specificity,percentage,0.05,492,5.0,0.46469316375755315,0.0,1.0,0.0,0.0,0.0,0.0
arguana,specificity,percentage,0.1,984,10.0,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.0
arguana,specificity,percentage,0.15,1476,15.0,0.549799289564479,0.08510612580692582,1.0,0.0,100.0,0.0,0.0
