dataset,partition_type,partition_bin,instance_count,ranking_safe_pct_w_0.05,ranking_safe_pct_w_0.1,ranking_safe_pct_w_0.3,ranking_safe_pct_w_0.5,ranking_safe_pct_w_1.0,ranking_safe_pct_no_safe,recall_safe_pct_w_0.05,recall_safe_pct_w_0.1,recall_safe_pct_w_0.3,recall_safe_pct_w_0.5,recall_safe_pct_w_1.0,recall_safe_pct_no_safe
bright_aops,idf_decile,D8,342,0.0,0.0,0.0,0.29239766081871343,9.064327485380117,90.64327485380117,0.0,0.5847953216374269,2.3391812865497075,1.461988304093567,7.017543859649122,88.59649122807018
bright_aops,idf_decile,D9,315,0.0,0.0,0.0,0.31746031746031744,9.206349206349207,90.47619047619048,0.0,0.31746031746031744,5.079365079365079,1.9047619047619049,10.793650793650794,81.9047619047619
nfcorpus,df_band,DF=2-5,4658,10.154572778016316,1.07342206955775,3.39201373980249,6.354658651781881,34.521253756977245,44.50407900386432,43.967367969085444,0.19321597252039502,1.4169171318162301,2.941176470588235,28.832116788321166,22.649205667668525
nfcorpus,df_band,DF=6-20,8982,9.407704297483857,1.1467379202850145,3.674014696058784,5.355154753952349,16.95613449120463,63.460253841015366,58.86216878200846,0.723669561344912,2.6608773101759073,2.738810955243821,11.946114451124473,23.068358940102428
nfcorpus,df_band,DF>20_rel>1%,21178,3.291151194635943,0.9963169326659742,3.985267730663897,3.796392482765134,8.910189819624138,79.02068183964491,58.47105486825952,1.0152044574558503,4.103314760600623,3.361979412597979,6.983662291056756,26.064784210029273
nfcorpus,df_band,DF>20_rel_0.1-1%,5049,5.228758169934641,1.1883541295306002,3.6838978015448602,4.753416518122401,10.081204198851259,75.06436918201625,60.863537334125574,0.8120419885125768,3.4264210734798968,2.7926322043969103,6.59536541889483,25.510001980590214
nfcorpus,idf_decile,D1,14073,2.963120869750586,0.7816385987351666,3.965039437220209,3.659489803169189,8.818304554821289,79.81240673630356,57.25147445462944,0.8669082640517303,4.121367156967242,3.659489803169189,7.375826049882754,26.72493427129965
nfcorpus,idf_decile,D10,862,8.236658932714617,1.2761020881670533,3.82830626450116,9.860788863109049,50.232018561484914,26.5661252900232,25.638051044083525,0.0,0.8120649651972157,6.380510440835267,45.59164733178655,21.57772621809745
nfcorpus,idf_decile,D2,7615,4.005252790544977,1.4051214707813526,4.070912672357189,4.110308601444517,8.995403808273144,77.41300065659883,61.247537754432045,1.2606697307944845,4.084044648719632,2.7708470124753775,6.0932370321733424,24.543663821405122
nfcorpus,idf_decile,D3,4909,5.459360358525158,1.161132613566918,3.666734569158688,4.950091668364228,10.45019352210226,74.31248726828275,60.35852515787329,0.8352006518639234,3.3815441026685678,2.9130169077205132,7.027907924220819,25.483805255652882
nfcorpus,idf_decile,D4,3362,7.852468768590125,1.0410469958358122,3.6585365853658534,5.443188578227246,13.682331945270674,68.3224271267103,61.00535395597858,0.9220701963117192,3.2123735871505055,3.301606186793575,9.518143961927423,22.040452111838192
nfcorpus,idf_decile,D5,2715,10.20257826887661,1.1049723756906076,3.4622467771639043,4.677716390423573,17.384898710865563,63.16758747697975,58.85819521178637,0.6998158379373849,2.3204419889502765,2.209944751381215,11.823204419889503,24.08839779005525
nfcorpus,idf_decile,D6,2535,10.848126232741617,1.3806706114398422,3.7475345167652856,5.680473372781065,21.617357001972387,56.725838264299796,55.62130177514793,0.4733727810650888,2.0907297830374754,2.3274161735700196,15.660749506903354,23.826429980276135
