stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage2,gate_dtau_+0.10__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=+0.10 (beta=1.0, single)","delta_tau=0.1, beta=1.0, gate=single",500,45.2,56.0,60.0,66.8,16.2,23.6,25.6,29.2,28.46,37.84,41.08,46.79,6.08,4.03,3.0,2.12,0.2563,21.65,21.7,26.37,0.0,0.0,7.69,1029.58,0.0
stage2,gate_dtau_+0.15__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=+0.15 (beta=1.0, single)","delta_tau=0.15, beta=1.0, gate=single",500,45.6,56.2,60.0,66.8,16.4,23.6,25.6,29.4,28.76,37.94,41.13,46.86,6.12,4.04,3.01,2.12,0.2564,20.16,20.26,24.36,0.0,0.0,7.69,673.24,0.05
stage2,gate_dtau_+0.20__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=+0.20 (beta=1.0, single)","delta_tau=0.2, beta=1.0, gate=single",500,45.6,56.4,60.0,66.6,16.4,23.6,25.6,29.2,28.76,38.01,41.13,46.68,6.12,4.05,3.01,2.12,0.2565,19.22,19.31,23.63,0.0,0.0,7.69,456.05,0.25
stage2,gate_dtau_+0.25__beta_1.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate d_tau=+0.25 (beta=1.0, single)","delta_tau=0.25, beta=1.0, gate=single",500,45.2,55.6,59.8,66.4,16.2,23.2,25.4,29.2,28.57,37.58,40.89,46.53,6.14,4.04,3.0,2.11,0.2558,18.36,18.53,22.3,0.0,0.0,7.69,319.4,0.57
stage2,gate_beta_0.00__dtau_0.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate beta=0.00 (d_tau=0.0, single)","beta=0.0, delta_tau=0.0, gate=single",500,45.2,55.8,60.4,66.6,16.2,23.2,25.6,29.4,28.43,37.6,41.17,46.69,6.06,4.01,2.99,2.11,0.2563,29.1,29.27,32.6,0.0,0.0,7.69,134.53,0.04
stage2,gate_beta_0.50__dtau_0.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate beta=0.50 (d_tau=0.0, single)","beta=0.5, delta_tau=0.0, gate=single",500,45.2,56.2,60.4,66.4,16.2,23.6,25.6,29.2,28.46,38.0,41.18,46.49,6.08,4.04,3.0,2.11,0.256,29.75,29.85,32.79,0.0,0.0,7.69,176.85,0.01
stage2,gate_beta_0.65__dtau_0.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate beta=0.65 (d_tau=0.0, single)","beta=0.65, delta_tau=0.0, gate=single",500,45.4,56.0,60.0,66.4,16.4,23.6,25.6,29.2,28.66,37.9,41.01,46.52,6.1,4.03,2.99,2.11,0.2551,30.58,30.83,34.42,0.0,0.0,7.69,356.53,0.0
stage2,gate_beta_1.00__dtau_0.0__single,beir_fiqa_doc_level,Edge-RAG,v7,"Gate beta=1.00 (d_tau=0.0, single)","beta=1.0, delta_tau=0.0, gate=single",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2558,27.98,27.91,34.86,0.0,0.0,7.69,2729.9,0.0
stage2,gate_variant_single__dtau_0.0__beta_1.0,beir_fiqa_doc_level,Edge-RAG,v7,Gate Variant: single,"gate_variant=single, delta_tau=0.0, beta=1.0",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2558,27.56,27.87,34.57,0.0,0.0,7.69,2729.9,0.0
stage2,gate_variant_two_gate__dtau_0.0__beta_1.0,beir_fiqa_doc_level,Edge-RAG,v7,Gate Variant: two_gate,"gate_variant=two_gate, delta_tau=0.0, beta=1.0",500,45.2,55.8,60.0,66.4,16.2,23.6,25.6,29.2,28.46,37.8,40.98,46.55,6.08,4.02,2.99,2.11,0.2558,36.24,36.42,42.22,0.0,0.0,7.69,1788.16,0.0
