dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
beir_fiqa_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",500,72.4,79.0,82.6,85.8,33.0,41.2,46.2,51.8,51.42,60.39,65.13,69.82,11.96,7.18,5.21,3.4,0.5162,205.53,205.78,208.42,200.965,3.785,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",500,60.2,66.2,70.6,76.0,24.0,30.2,33.0,38.0,39.82,46.9,50.85,56.45,8.74,5.28,3.83,2.59,0.4049,72.82,72.82,74.53,301.891,4.327,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2558,27.69,27.62,34.16,24.064,0.354,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",248,98.92,99.46,99.46,99.46,65.59,87.1,92.47,95.7,85.17,94.44,96.95,98.16,21.72,12.23,8.41,5.11,0.8254,0.31,0.32,0.45,1.516,0.0,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",248,97.31,98.92,98.92,99.46,43.55,60.75,68.28,80.65,73.84,84.05,87.77,92.88,18.87,10.83,7.56,4.8,0.7108,12.5,12.71,14.07,1.428,1.286,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",248,97.31,99.46,99.46,99.46,49.46,68.28,79.03,88.71,76.25,88.13,92.34,95.61,19.35,11.37,7.97,4.98,0.6851,23.55,23.71,25.03,8.95,3.722,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",248,98.92,99.46,99.46,99.46,48.92,72.04,81.18,88.71,78.14,88.71,92.43,95.43,19.95,11.48,8.01,4.97,0.7286,7.4,7.46,8.74,7.3,4.094,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",248,98.92,99.46,99.46,100.0,63.44,84.95,90.32,95.7,84.5,93.91,96.01,98.43,21.56,12.15,8.3,5.12,0.8276,52.57,53.84,64.7,6.832,0.201,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",150,50.67,60.0,64.0,72.67,44.0,53.33,57.33,64.0,47.44,56.67,60.67,68.22,5.6,3.4,2.47,1.68,0.3092,0.2,0.21,0.37,0.945,0.0,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",150,75.33,84.0,86.67,89.33,68.67,76.0,79.33,81.33,72.0,79.89,82.89,85.22,8.8,4.9,3.4,2.09,0.5177,14.15,14.31,15.17,3.535,1.349,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",150,86.0,90.0,91.33,93.33,80.0,85.33,87.33,90.0,83.0,87.67,89.44,91.78,10.27,5.4,3.71,2.29,0.6197,28.14,28.3,29.47,23.943,3.785,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",150,78.67,84.0,86.67,90.0,67.33,74.0,76.67,81.33,72.78,78.78,81.67,85.67,8.93,4.8,3.33,2.09,0.5268,7.95,8.16,9.36,25.091,4.111,0.0,0.0,0.0,0.0
financebench_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",150,54.0,62.67,70.67,74.67,49.33,57.33,64.0,67.33,51.44,59.78,67.11,71.0,6.27,3.67,2.71,1.75,0.313,55.89,61.28,93.91,3.418,0.232,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",103,23.3,33.01,38.83,45.63,7.77,8.74,9.71,11.65,10.89,15.5,18.47,25.01,5.34,4.76,4.34,3.71,0.1413,1.21,1.32,2.14,4.403,0.0,0.0,0.0,0.0,0.0
