dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
nfcorpus,specificity,fixed,15000,15000,127.00025400050801,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,specificity,fixed,20000,20000,169.33367200067732,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,specificity,percentage,0.02,236,2.0,0.5368037626267403,0.22697865732466696,0.5564550471794165,0.200585089892532,52.96263524774824,0.76,0.38
nfcorpus,specificity,percentage,0.05,590,5.0,0.6004685970945259,0.29064349179245264,0.6431472919323241,0.28727733464543964,67.81802934413038,0.84,0.48
nfcorpus,specificity,percentage,0.1,1181,10.0,0.6885719434481303,0.37874683814605703,0.7133750296041818,0.3575050723172972,88.3758450085236,0.86,0.54
nfcorpus,specificity,percentage,0.15,1771,15.0,0.7057389205122421,0.3959138152101687,0.7238709740967422,0.36800101680985764,92.38154473055732,0.86,0.56
nfcorpus,specificity,percentage,0.2,2362,20.0,0.7198358796912318,0.41001077438915834,0.7258395431620854,0.36996958587520085,95.67089411652748,0.86,0.56
nfcorpus,specificity,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,21.166709000084666,0.7240037107508879,0.4141786054488146,0.7258395431620854,0.36996958587520085,96.6434054477187,0.86,0.56
nfcorpus,hybrid,fixed,1000,1000,8.466683600033868,0.6566996114586998,0.34687450615662635,0.678505359790392,0.3226354025035074,80.93883435057084,0.86,0.54
nfcorpus,hybrid,fixed,2500,2500,21.166709000084666,0.7251754395772808,0.4153503342752073,0.7234863587121267,0.3676164014252422,96.91681373717186,0.86,0.56
nfcorpus,hybrid,fixed,5000,5000,42.33341800016933,0.7304567293945281,0.42063162409245464,0.7487786733575894,0.3929087160707049,98.1491367649199,0.86,0.56
nfcorpus,hybrid,fixed,10000,10000,84.66683600033866,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,hybrid,fixed,15000,15000,127.00025400050801,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,hybrid,fixed,20000,20000,169.33367200067732,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,hybrid,percentage,0.02,236,2.0,0.5368037626267403,0.22697865732466696,0.5520106027349719,0.19614064544808751,52.96263524774824,0.76,0.38
nfcorpus,hybrid,percentage,0.05,590,5.0,0.6035512072419136,0.2937261019398402,0.6177580807954332,0.2618881235085487,68.53731792734536,0.82,0.48
nfcorpus,hybrid,percentage,0.1,1181,10.0,0.6875027886047553,0.377677683302682,0.7071131696375906,0.3512432123507061,88.12637107709558,0.86,0.54
nfcorpus,hybrid,percentage,0.15,1771,15.0,0.711395320706731,0.40157021540465754,0.7183124093695439,0.36244245208265935,93.7013950805728,0.86,0.56
nfcorpus,hybrid,percentage,0.2,2362,20.0,0.7222240390362604,0.41239893373418696,0.7226700321815146,0.36680007489462996,96.22814127709788,0.86,0.56
nfcorpus,hybrid,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,21.166709000084666,0.7251754395772808,0.4153503342752073,0.7234863587121267,0.3676164014252422,96.91681373717186,0.86,0.56
nfcorpus,stratified,fixed,1000,1000,8.466683600033868,0.5791268967902021,0.2693017914881289,0.7235022395166472,0.3676322822297626,62.83821008664013,0.84,0.54
nfcorpus,stratified,fixed,2500,2500,21.166709000084666,0.6677836330173195,0.35795852771524617,0.756560883649722,0.40069092636283743,83.52515236745674,0.84,0.56
nfcorpus,stratified,fixed,5000,5000,42.33341800016933,0.7134325424030803,0.40360743710100694,0.7667793047023537,0.41090934741546903,94.17675532322424,0.84,0.56
nfcorpus,stratified,fixed,10000,10000,84.66683600033866,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,stratified,fixed,15000,15000,127.00025400050801,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,stratified,fixed,20000,20000,169.33367200067732,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,stratified,percentage,0.02,236,2.0,0.46372961616256325,0.1539045108604899,0.6382811904071097,0.28241123312022515,35.911695697573414,0.84,0.44
nfcorpus,stratified,percentage,0.05,590,5.0,0.5590106922639587,0.24918558696188547,0.6875889821549923,0.33171902486810756,58.14434496535434,0.84,0.52
nfcorpus,stratified,percentage,0.1,1181,10.0,0.5898707533190313,0.28004564801695797,0.746870790045251,0.3910008327583665,65.3451548416996,0.84,0.54
nfcorpus,stratified,percentage,0.15,1771,15.0,0.645827455285683,0.33600234998360967,0.7489615963416579,0.3930916390547734,78.40195247570631,0.84,0.56
nfcorpus,stratified,percentage,0.2,2362,20.0,0.6671099595010752,0.3572848541990018,0.756560883649722,0.40069092636283743,83.36795906506673,0.84,0.56
nfcorpus,stratified,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,21.166709000084666,0.6677836330173195,0.35795852771524617,0.756560883649722,0.40069092636283743,83.52515236745674,0.84,0.56
nfcorpus,coverage,fixed,1000,1000,8.466683600033868,0.5685511080996277,0.2587260027975543,0.7226164168364339,0.36674645954954954,60.370481862858405,0.84,0.5
nfcorpus,coverage,fixed,2500,2500,21.166709000084666,0.6688217546908604,0.35899664938878717,0.7374159875270346,0.3815460302401501,83.76738509623657,0.86,0.52
nfcorpus,coverage,fixed,5000,5000,42.33341800016933,0.7162300970847011,0.4064049917826278,0.7643231643514764,0.40845320706459176,94.82952977318665,0.86,0.54
nfcorpus,coverage,fixed,10000,10000,84.66683600033866,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,coverage,fixed,15000,15000,127.00025400050801,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,coverage,fixed,20000,20000,169.33367200067732,0.7383888583383559,0.4285637530362827,0.7667793047023537,0.41090934741546903,100.0,0.86,0.56
nfcorpus,coverage,percentage,0.02,236,2.0,0.45696481134501066,0.14713970604293727,0.6982550957987971,0.34238513851191266,34.333212970178614,0.84,0.42
nfcorpus,coverage,percentage,0.05,590,5.0,0.5298032073634682,0.2199781020613948,0.7033818014518185,0.34751184416493414,51.32914309782311,0.84,0.46
nfcorpus,coverage,percentage,0.1,1181,10.0,0.5750001842444858,0.26517507894241255,0.7248491911342719,0.3689792338473874,61.87529324720155,0.84,0.5
nfcorpus,coverage,percentage,0.15,1771,15.0,0.6392292737127212,0.32940416841064796,0.7305173022988831,0.3746473450119984,76.86234920169748,0.84,0.52
