stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage3,budget_mu_0.25__eta_0.0,beir_scifact_doc_level,Edge-RAG,v7,Budget mu_ceil=0.25,"mu_ceil=0.25, eta=0.0",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,38.95,39.26,51.42,0.0,0.0,9.13,6457.25,0.0
stage3,budget_mu_0.50__eta_0.0,beir_scifact_doc_level,Edge-RAG,v7,Budget mu_ceil=0.50,"mu_ceil=0.5, eta=0.0",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,38.93,39.61,52.15,0.0,0.0,9.13,6457.25,0.0
stage3,budget_mu_0.75__eta_0.0,beir_scifact_doc_level,Edge-RAG,v7,Budget mu_ceil=0.75,"mu_ceil=0.75, eta=0.0",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,39.06,39.59,52.25,0.0,0.0,9.13,6457.25,0.0
stage3,budget_mu_1.00__eta_0.0,beir_scifact_doc_level,Edge-RAG,v7,Budget mu_ceil=1.00,"mu_ceil=1.0, eta=0.0",300,79.67,85.33,86.67,88.0,76.0,82.0,84.0,87.0,77.69,83.67,85.58,87.66,8.53,4.63,3.2,1.99,0.6023,39.32,39.67,53.06,0.0,0.0,9.13,6457.25,0.0
stage3,sparsity_eps_0.000,beir_scifact_doc_level,Edge-RAG,v7,Mass Floor eps=0.000,mass_floor=0.0,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,39.36,39.51,52.49,0.0,0.0,9.13,6457.25,0.0
stage3,sparsity_eps_0.001,beir_scifact_doc_level,Edge-RAG,v7,Mass Floor eps=0.001,mass_floor=0.001,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,23.76,24.09,30.88,0.0,0.0,9.13,267.71,0.0
stage3,sparsity_eps_0.005,beir_scifact_doc_level,Edge-RAG,v7,Mass Floor eps=0.005,mass_floor=0.005,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,22.05,22.41,28.17,0.0,0.0,9.13,0.24,0.0
stage3,sparsity_eps_0.010,beir_scifact_doc_level,Edge-RAG,v7,Mass Floor eps=0.010,mass_floor=0.01,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,21.87,22.29,27.8,0.0,0.0,9.13,0.0,0.0
stage3,sparsity_eps_0.020,beir_scifact_doc_level,Edge-RAG,v7,Mass Floor eps=0.020,mass_floor=0.02,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,21.94,22.32,28.27,0.0,0.0,9.13,0.0,0.0
stage3,sparsity_eps_0.050,beir_scifact_doc_level,Edge-RAG,v7,Mass Floor eps=0.050,mass_floor=0.05,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,22.08,22.39,28.02,0.0,0.0,9.13,0.0,0.0
stage3,alloc_normalized_cosine,beir_scifact_doc_level,Edge-RAG,v7,Allocation: normalized_cosine,allocation=normalized_cosine,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,39.15,39.5,52.33,0.0,0.0,9.13,6457.25,0.0
stage3,alloc_softmax_1.0,beir_scifact_doc_level,Edge-RAG,v7,Allocation: softmax_1.0,allocation=softmax_1.0,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,39.2,39.95,53.02,0.0,0.0,9.13,6457.25,0.0
stage3,alloc_softmax_0.1,beir_scifact_doc_level,Edge-RAG,v7,Allocation: softmax_0.1,allocation=softmax_0.1,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,39.33,39.93,52.31,0.0,0.0,9.13,6457.25,0.0
stage3,alloc_uniform,beir_scifact_doc_level,Edge-RAG,v7,Allocation: uniform,allocation=uniform,300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,38.64,39.07,51.52,0.0,0.0,9.13,6457.25,0.0
stage3,budget_eta_-0.5__mu_0.50,beir_nfcorpus_doc_level,Edge-RAG,v7,Budget eta=-0.5 (mu=0.50),"eta=-0.5, mu_ceil=0.50",323,70.59,74.92,76.78,78.33,4.64,4.95,4.95,5.26,15.41,18.49,19.94,22.3,23.22,16.72,13.36,10.16,0.5396,24.19,24.26,37.4,0.0,0.0,2.76,2040.08,0.0
stage3,budget_eta_+0.0__mu_0.50,beir_nfcorpus_doc_level,Edge-RAG,v7,Budget eta=+0.0 (mu=0.50),"eta=0.0, mu_ceil=0.50",323,69.97,74.92,76.78,78.33,4.33,4.95,4.95,5.26,15.07,18.51,19.94,22.31,23.13,16.75,13.36,10.17,0.5387,24.38,24.28,36.83,0.0,0.0,2.76,2040.08,0.0
stage3,budget_eta_+0.5__mu_0.50,beir_nfcorpus_doc_level,Edge-RAG,v7,Budget eta=+0.5 (mu=0.50),"eta=0.5, mu_ceil=0.50",323,70.59,74.92,76.78,78.33,4.64,4.95,4.95,5.26,15.41,18.49,19.94,22.3,23.25,16.72,13.37,10.17,0.5421,24.08,24.25,37.09,0.0,0.0,2.76,2040.08,0.0
stage3,budget_mu_0.25__eta_0.0,beir_nfcorpus_doc_level,Edge-RAG,v7,Budget mu_ceil=0.25,"mu_ceil=0.25, eta=0.0",323,70.59,74.92,76.78,78.64,4.64,4.95,4.95,5.26,15.43,18.46,19.95,22.31,23.28,16.7,13.38,10.16,0.5407,24.18,24.21,37.33,0.0,0.0,2.76,2040.08,0.0
stage3,budget_mu_0.50__eta_0.0,beir_nfcorpus_doc_level,Edge-RAG,v7,Budget mu_ceil=0.50,"mu_ceil=0.5, eta=0.0",323,69.97,74.92,76.78,78.33,4.33,4.95,4.95,5.26,15.07,18.51,19.94,22.31,23.13,16.75,13.36,10.17,0.5387,24.14,24.29,36.75,0.0,0.0,2.76,2040.08,0.0
