dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
bright_robotics,BGE_Vocab_QE,0.0974,0.0974,0.1615,0.0801,0.1313,0.0366,0.0145,0.2574,0.1295,0.2984,0.3452,0.4289,0.5948,0.683,0.2178,0.3861,0.4851,0.5248,0.8317,0.7459,36.33,49.3,76.02,39.2,9.48,172.68,61961,101,85.57,3007.21,10.08,0.0,0.1482,0.4752
bright_stackoverflow,BGE_Vocab_QE,0.1166,0.1166,0.1653,0.0964,0.1325,0.0453,0.0137,0.265,0.145,0.2811,0.3083,0.3843,0.5102,0.6112,0.188,0.3675,0.4444,0.4359,0.7436,0.6519,46.18,58.06,72.96,47.65,9.63,180.83,107081,117,158.72,2958.61,13.51,0.0,0.1572,0.4017
bright_earth_science,BGE_Vocab_QE,0.1089,0.1089,0.1743,0.0848,0.151,0.0457,0.0144,0.3017,0.1396,0.2932,0.3533,0.4651,0.5557,0.6378,0.1897,0.3448,0.4397,0.6207,0.8534,0.7104,33.29,38.93,41.32,34.12,11.25,148.36,121249,116,186.11,2961.84,14.84,0.0,0.1574,0.5431
trec_covid,BGE_Vocab_QE,0.5348,0.5086,0.4407,0.0744,0.7156,0.618,0.4848,0.98,0.0155,0.0662,0.1139,0.18,0.3121,0.4256,0.0,0.0,0.0,1.0,1.0,0.9981,25.73,28.31,34.4,25.45,5.96,224.02,171332,50,298.31,3692.76,24.69,0.0,0.4819,1.0
bright_aops,BGE_Vocab_QE,0.0518,0.0518,0.0898,0.0343,0.1039,0.027,0.0089,0.2072,0.0534,0.1148,0.1744,0.2215,0.2961,0.3714,0.018,0.0631,0.1081,0.4234,0.6577,0.4393,97.97,112.83,123.38,100.48,6.21,304.97,188002,111,177.0,3723.82,20.15,0.0,0.0734,0.3423
bright_theoremqa_questions,BGE_Vocab_QE,0.0748,0.0748,0.0882,0.0679,0.0878,0.0144,0.0026,0.1134,0.0814,0.1067,0.1406,0.1892,0.2446,0.3119,0.1082,0.1804,0.2526,0.1907,0.3918,0.3289,98.58,112.94,125.97,99.36,7.09,272.53,188002,194,177.01,4151.19,20.15,0.0,0.0815,0.1392
webis_touche2020,BGE_Vocab_QE,0.3066,0.3027,0.4287,0.1944,0.4997,0.3,0.0914,0.9184,0.2009,0.4536,0.543,0.6514,0.7709,0.8595,0.0408,0.1837,0.3061,0.9796,1.0,0.9893,22.23,29.41,32.49,22.75,5.7,230.42,382545,49,696.38,4676.38,60.05,0.0,0.3885,0.9796
bright_leetcode,BGE_Vocab_QE,0.2033,0.2033,0.2358,0.1731,0.241,0.0493,0.0075,0.3451,0.2411,0.3205,0.3763,0.4538,0.5788,0.7075,0.2465,0.4366,0.5845,0.5,0.8099,0.7322,126.84,145.76,156.96,127.7,5.54,353.22,413932,142,588.88,4644.43,40.57,0.0,0.2254,0.4437
quora,BGE_Vocab_QE,0.7464,0.7464,0.7731,0.7045,0.7343,0.115,0.0141,0.8939,0.8525,0.9381,0.9585,0.973,0.9839,0.9901,0.934,0.9708,0.9808,0.9755,0.9951,0.9918,15.42,18.11,20.99,15.77,74.0,31.26,522931,10000,223.9,5361.48,16.0,0.0,0.7689,0.9615
nq,BGE_Vocab_QE,0.2684,0.2684,0.3342,0.2268,0.2326,0.0495,0.0086,0.4577,0.4218,0.647,0.7212,0.781,0.847,0.8869,0.6921,0.8285,0.8722,0.7503,0.9009,0.8901,41.92,61.81,77.51,43.08,20.1,78.84,2681468,3452,2316.21,4977.71,103.81,0.0,0.3215,0.6758
dbpedia_entity,BGE_Vocab_QE,0.293,0.2718,0.3483,0.2039,0.5557,0.2623,0.0887,0.7575,0.1849,0.3651,0.445,0.5253,0.6076,0.6626,0.0925,0.17,0.21,0.92,0.9675,0.8337,36.9,65.96,95.52,41.54,6.91,205.22,4635922,400,4052.34,4888.18,254.2,0.0,0.3208,0.89
hotpotqa,BGE_Vocab_QE,0.5519,0.5519,0.5926,0.4696,0.7124,0.1166,0.0148,0.8571,0.5829,0.7034,0.7423,0.7791,0.8212,0.8489,0.5303,0.66,0.7103,0.9544,0.9874,0.8802,107.15,227.87,625.34,135.07,12.6,114.37,5233329,7405,4190.09,5245.88,297.42,0.0,0.5848,0.9344
climate_fever,BGE_Vocab_QE,0.1265,0.1265,0.1802,0.0946,0.1712,0.0398,0.0097,0.3401,0.1633,0.2973,0.3564,0.4225,0.5103,0.5706,0.1277,0.2463,0.2971,0.6339,0.8306,0.633,83.45,149.67,209.59,91.75,7.62,209.61,5416593,1535,5567.1,4913.25,373.45,0.0,0.1665,0.5537
fever,BGE_Vocab_QE,0.4936,0.4936,0.5362,0.4418,0.4558,0.0723,0.0096,0.6962,0.6603,0.8108,0.8522,0.8864,0.9229,0.9376,0.8198,0.8936,0.9109,0.8872,0.9644,0.9438,124.51,174.05,220.66,126.96,9.4,142.61,5416568,6666,5567.06,5135.79,377.68,0.0,0.5291,0.8486
nfcorpus,LLM_Q2E_ZS,0.3516,0.3535,0.3125,0.1634,0.557,0.2539,0.0764,0.743,0.1766,0.259,0.3035,0.3591,0.4531,0.5373,0.0743,0.096,0.1238,0.8452,0.9195,0.8024,782.55,1087.3,1290.82,804.95,1.27,1569.55,3633,323,18.6,4151.6,0.58,0.0,0.3084,0.8204
arguana,LLM_Q2E_ZS,0.3577,0.3577,0.4075,0.2461,0.2343,0.075,0.0097,0.7496,0.7496,0.9431,0.9659,0.9801,0.9872,0.9915,0.9659,0.9872,0.9915,0.9659,0.9915,0.9915,1097.98,1276.21,1350.43,1092.65,0.98,2103.27,8674,1406,25.6,4089.3,1.34,0.0,0.4038,0.9431
bright_theoremqa_theorems,LLM_Q2E_ZS,0.0239,0.0239,0.0449,0.0188,0.0263,0.0066,0.0022,0.0658,0.0395,0.1075,0.1294,0.1732,0.2993,0.3999,0.0921,0.25,0.3553,0.1711,0.4737,0.4147,872.23,1042.79,1216.88,896.38,1.11,1816.35,23839,76,23.79,3872.28,2.12,0.0,0.0408,0.1579
scidocs,LLM_Q2E_ZS,0.1509,0.1509,0.217,0.1025,0.2604,0.0791,0.0175,0.49,0.1603,0.2895,0.3562,0.4245,0.5097,0.5698,0.052,0.126,0.16,0.778,0.933,0.6613,713.44,803.13,944.52,708.66,1.41,1412.41,25657,1000,69.01,4053.77,2.45,0.0,0.1988,0.696
bright_economics,LLM_Q2E_ZS,0.1105,0.1105,0.1727,0.0857,0.1244,0.0534,0.0249,0.2621,0.1215,0.2826,0.3686,0.5009,0.6165,0.7206,0.1942,0.3883,0.4757,0.5825,0.8641,0.7868,946.27,1205.47,1279.14,975.24,1.01,1986.69,50220,103,168.75,3830.34,4.24,0.0,0.1487,0.4854
bright_psychology,LLM_Q2E_ZS,0.1062,0.1062,0.1642,0.0819,0.118,0.0495,0.0151,0.2673,0.1632,0.3157,0.3717,0.4505,0.5617,0.6617,0.2772,0.3861,0.4554,0.5446,0.8218,0.7369,969.57,1234.58,1295.43,997.8,0.99,2025.16,52835,101,191.01,3787.51,4.67,0.0,0.1503,0.4752
bright_biology,LLM_Q2E_ZS,0.0974,0.0974,0.1577,0.0687,0.1323,0.0398,0.012,0.2913,0.1387,0.2593,0.3551,0.4616,0.6001,0.7054,0.1456,0.3204,0.466,0.5728,0.8641,0.7464,895.14,1131.52,1282.12,923.63,1.08,1867.04,57359,103,75.34,3789.71,4.51,0.0,0.1356,0.4466
fiqa,LLM_Q2E_ZS,0.2569,0.2569,0.3233,0.2079,0.3134,0.0725,0.0139,0.5185,0.3261,0.5059,0.582,0.6391,0.7148,0.7881,0.3904,0.5355,0.6111,0.7747,0.9136,0.8219,761.34,909.11,953.88,769.13,1.29,1540.78,57638,648,83.96,3829.64,4.62,0.0,0.3066,0.7099
bright_sustainable_living,LLM_Q2E_ZS,0.0879,0.0879,0.166,0.0663,0.1116,0.0444,0.0154,0.2963,0.1337,0.3134,0.4138,0.4923,0.6702,0.7419,0.25,0.4722,0.5556,0.6204,0.8704,0.7933,967.78,1157.66,1291.71,982.18,1.0,1997.45,60792,108,193.46,3783.09,3.83,0.0,0.1425,0.5093
