dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
webis_touche2020,DPH_RM3_Terrier_Default,0.458,0.4541,0.5347,0.2773,0.7436,0.4082,0.101,0.9796,0.2711,0.483,0.5949,0.691,0.7918,0.8711,0.0204,0.2449,0.3061,1.0,1.0,0.9965,31.5,42.39,45.51,32.82,19.81,120.57,382545,49,685.06,1632.48,0.0,0.87,0.4882,1.0
dbpedia_entity,DPH_Bo1_Terrier_Default,0.3032,0.2829,0.3604,0.2061,0.564,0.2807,0.0973,0.8,0.1948,0.3885,0.4681,0.5454,0.6371,0.6892,0.105,0.1925,0.2275,0.9325,0.98,0.8537,54.37,96.23,131.29,60.03,6.83,226.09,4635922,400,4041.0,539.79,0.0,0.64,0.3326,0.9125
dbpedia_entity,DPH_RM3_Terrier_Default,0.3083,0.2883,0.3627,0.2115,0.5585,0.2805,0.096,0.7875,0.1959,0.3805,0.4637,0.5402,0.6241,0.6799,0.1025,0.1775,0.2225,0.9325,0.9775,0.8461,67.0,102.52,139.92,70.56,13.26,166.41,4635922,400,4041.0,558.28,0.0,0.64,0.3338,0.9
nq,DPH_Bo1_Terrier_Default,0.2683,0.2683,0.3383,0.2235,0.2245,0.0514,0.0091,0.471,0.4386,0.6776,0.7518,0.808,0.8717,0.9087,0.73,0.8569,0.896,0.7743,0.92,0.9114,52.27,81.12,108.33,55.0,17.0,91.17,2681468,3452,2304.87,583.18,0.0,0.44,0.3254,0.7063
nq,DPH_RM3_Terrier_Default,0.2886,0.2886,0.3554,0.2453,0.2473,0.0529,0.009,0.4815,0.45,0.6761,0.7506,0.8051,0.8688,0.9026,0.7289,0.8552,0.8911,0.7735,0.9134,0.9051,59.45,88.03,114.96,61.9,17.57,91.19,2681468,3452,2304.87,604.21,0.0,0.44,0.3425,0.7037
climate_fever,DPH_Bo1_Terrier_Default,0.1925,0.0,0.2597,0.1413,0.2557,0.065,0.0137,0.5075,0.2522,0.418,0.4863,0.5574,0.6447,0.6997,0.2137,0.3733,0.4391,0.7752,0.9029,0.7516,102.92,216.11,338.4,119.58,6.93,241.26,5416593,1535,5555.75,609.81,0.0,0.63,0.2439,0.714
climate_fever,DPH_RM3_Terrier_Default,0.1855,0.0,0.2483,0.1366,0.2413,0.0633,0.0129,0.4906,0.2435,0.4001,0.4647,0.5268,0.611,0.6638,0.2039,0.3362,0.4007,0.7459,0.8704,0.7161,117.97,211.8,330.56,130.46,7.65,234.66,5416593,1535,5555.75,607.8,0.0,0.63,0.2336,0.6801
fever,DPH_Bo1_Terrier_Default,0.6427,0.6427,0.6654,0.5842,0.6098,0.0891,0.0103,0.847,0.8081,0.8863,0.9077,0.9233,0.9426,0.9545,0.8765,0.9154,0.9307,0.9404,0.9778,0.9599,84.57,142.7,210.5,90.52,10.51,125.18,5416568,6666,5555.71,682.18,0.0,0.6,0.6616,0.9221
fever,DPH_RM3_Terrier_Default,0.6571,0.6571,0.6791,0.6052,0.6311,0.0884,0.0101,0.8402,0.8007,0.8783,0.8964,0.9133,0.9342,0.9472,0.8647,0.9067,0.9227,0.9295,0.9709,0.9528,102.01,162.11,229.75,108.14,9.6,136.93,5416568,6666,5555.71,687.39,0.0,0.6,0.6759,0.9131
bright_biology,DPH_Bo1_Terrier_Default,0.2875,0.2875,0.3615,0.2453,0.3876,0.1068,0.02,0.466,0.3045,0.4711,0.5603,0.6522,0.7358,0.8097,0.3786,0.5243,0.6699,0.7282,0.8932,0.832,43.25,51.58,61.06,44.31,19.15,126.48,57359,103,75.34,609.71,0.0,0.14,0.3416,0.6311
