dataset,policy,capacity,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
nfcorpus,specificity,2500,0.7240037107508879,0.4141786054488145,0.7258395431620853,0.36996958587520085,96.64340544771873,0.86,0.56
nfcorpus,specificity,5000,0.730456729394528,0.42063162409245464,0.7664822749993833,0.4106123177124988,98.14913676491993,0.86,0.56
nfcorpus,specificity,10000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,specificity,15000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,specificity,20000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,hybrid,1000,0.6566996114586998,0.34687450615662646,0.678505359790392,0.3226354025035075,80.9388343505709,0.86,0.54
nfcorpus,hybrid,2500,0.7251754395772807,0.41535033427520734,0.7234863587121267,0.36761640142524227,96.9168137371719,0.86,0.56
nfcorpus,hybrid,5000,0.730456729394528,0.42063162409245464,0.7487786733575895,0.39290871607070504,98.14913676491993,0.86,0.56
nfcorpus,hybrid,10000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,hybrid,15000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,hybrid,20000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,stratified,1000,0.5791268967902022,0.2693017914881289,0.7235022395166472,0.3676322822297627,62.83821008664015,0.84,0.54
nfcorpus,stratified,2500,0.6677836330173195,0.3579585277152461,0.7565608836497221,0.4006909263628376,83.52515236745677,0.84,0.56
nfcorpus,stratified,5000,0.7134325424030803,0.40360743710100694,0.7667793047023536,0.4109093474154691,94.17675532322427,0.84,0.56
nfcorpus,stratified,10000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,stratified,15000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,stratified,20000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,coverage,1000,0.5685511080996277,0.25872600279755437,0.7226164168364342,0.3667464595495497,60.37048186285844,0.84,0.5
nfcorpus,coverage,2500,0.6688217546908605,0.3589966493887871,0.7374159875270349,0.3815460302401504,83.7673850962366,0.86,0.52
nfcorpus,coverage,5000,0.7162300970847011,0.40640499178262773,0.7643231643514764,0.4084532070645919,94.82952977318668,0.86,0.54
nfcorpus,coverage,10000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,coverage,15000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
nfcorpus,coverage,20000,0.7383888583383559,0.4285637530362825,0.7667793047023536,0.4109093474154691,100.0,0.86,0.56
trec_covid,salience,1000,0.8220559457285226,0.21551183018381037,0.48019624942567307,0.03157212363428147,70.90254283627378,0.98,0.88
trec_covid,salience,2500,0.854054873434768,0.24751075789005583,0.4940649549824718,0.04544082919108022,81.4300639494852,1.0,0.94
trec_covid,salience,5000,0.877621546992704,0.2710774314479918,0.5038350976746078,0.055210971883216164,89.1834066779326,1.0,0.94
trec_covid,salience,10000,0.9004781408514074,0.2939340253066952,0.5202723523721701,0.07164822658077846,96.70313598363163,1.0,0.94
trec_covid,salience,15000,0.9043234236286043,0.2977793080838921,0.5265362256043962,0.07791209981300456,97.96821886374661,1.0,0.94
